accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5981773
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6312095
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6617876
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7027691
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7299475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7624826
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8046649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8386926
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8685818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9007422
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9362895
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9710074
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004169
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.039575
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.076684
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.107051
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148682
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17663
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21332
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.248555
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.278719
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.566484
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590983
